1,-0.523,-0.192
2,-0.45,-0.11
4,-0.429,-0.009
6,-0.341,0.024
6.5,-0.383,0.093
7,-0.28,0.108
8,-0.305,0.19
9,-0.207,0.217
9.2,-0.19,0.297
10,-0.142,0.351
11,-0.123,0.412
12,-0.079,0.467
13,-0.02,0.567
15,0.016,0.609
16,0.151,0.841
17.5,0.134,0.808
18,0.129,0.766
19,0.077,0.697
20,0.031,0.67
20.8,-0.005,0.511
21.9,0.171,0.9
22.9,0.145,0.926
23.5,0.138,0.966
24.9,0.123,1.015
25.9,0.08,1.017
27,0.076,1.079
27.5,0.028,1.079
28.9,0.013,1.121
30,-0.035,1.122
30.6,-0.031,1.169
31.9,-0.071,1.177
33,-0.11,1.199
34,-0.147,1.212
35.1,-0.183,1.234
36.2,-0.165,1.26
37.3,-0.211,1.272
38.4,-0.195,1.311
39,-0.187,1.344
40,-0.138,1.357
41.1,-0.133,1.437
42,-0.076,1.427
43,-0.038,1.516
44.1,0.014,1.621
45.1,0.089,1.709
46,0.169,1.747
47,0.19,1.881
48,0.286,1.91
49.2,0.345,2.007
50.2,0.421,2.103
51.1,0.496,2.179
52.2,0.559,2.313
53.2,0.681,2.414
54,0.733,2.552
55,0.832,2.619
56,0.895,2.749
