Sequence Number,[Mainline] Name,Date,Time,Ievoli_Cobal CoG Easting,Ievoli_Cobal CoG Northing,Ievoli_Cobal CoG COG,Ievoli_Cobal CoG SOG,SF_STBD_MAG_1 Range to Node,SF_STBD_MAG_1 Easting,SF_STBD_MAG_1 Northing,Magnetic Field 30011_MAG_SFSTBD_1_883381 [nT] Value,Value Value,Depth Value,Altitude Value,Magnetic Field 30015_MAG_SFSTBD_5_883767 [nT] Value,Value Value,Value Comment,Value Comment,10003_MRU_SF_STBD Pitch,10003_MRU_SF_STBD Roll
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:16.97,668075.24,5981984.47,325.36,3.02,243.71,668222.43,5981737.01,50041.69,1299.00,32.15,2.22,50033.26,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.01,668075.17,5981984.57,325.36,3.02,243.71,668222.37,5981737.12,50041.54,1296.00,32.15,2.22,50033.26,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.05,668075.10,5981984.67,325.36,3.02,243.71,668222.30,5981737.22,50041.37,1296.00,32.15,2.22,50033.06,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.09,668075.03,5981984.77,325.36,3.02,243.71,668222.24,5981737.32,50041.10,1296.00,32.15,2.20,50033.06,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.17,668074.89,5981984.97,325.36,3.02,243.71,668222.11,5981737.52,50040.86,1296.00,32.15,2.20,50032.52,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.21,668074.82,5981985.07,325.36,3.02,243.72,668222.05,5981737.63,50040.79,1294.00,32.15,2.18,50032.52,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.25,668074.75,5981985.17,325.36,3.02,243.72,668221.98,5981737.73,50040.68,1294.00,32.20,2.18,50032.47,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.29,668074.68,5981985.28,325.36,3.02,243.72,668221.92,5981737.84,50040.51,1294.00,32.20,2.18,50032.34,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.37,668074.50,5981985.49,325.36,3.02,243.47,668220.87,5981737.84,50040.29,1294.00,32.20,2.18,50031.89,1421.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.41,668074.43,5981985.59,325.36,3.02,243.47,668220.77,5981737.93,50040.05,1294.00,32.20,2.18,50031.71,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.46,668074.36,5981985.69,325.36,3.02,243.47,668220.71,5981738.04,50039.82,1296.00,32.20,2.18,50031.71,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.50,668074.29,5981985.79,325.36,3.02,243.47,668220.65,5981738.14,50039.79,1294.00,32.20,2.17,50031.71,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.54,668074.21,5981985.91,325.36,3.02,243.47,668220.57,5981738.26,50039.64,1294.00,32.20,2.17,50031.43,1421.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.62,668074.08,5981986.10,325.36,3.02,243.47,668220.43,5981738.44,50039.41,1294.00,32.20,2.23,50031.12,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.66,668074.01,5981986.20,325.36,3.02,243.47,668220.36,5981738.54,50039.29,1296.00,32.20,2.23,50031.16,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.70,668073.94,5981986.30,325.36,3.02,243.47,668220.30,5981738.65,50039.14,1294.00,32.20,2.17,50031.16,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.74,668073.87,5981986.40,325.36,3.02,243.47,668220.23,5981738.75,50039.05,1294.00,32.20,2.17,50030.98,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.82,668073.74,5981986.61,325.40,3.02,243.47,668220.07,5981738.95,50038.96,1296.00,32.20,2.18,50030.85,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.86,668073.67,5981986.71,325.40,3.02,243.47,668220.01,5981739.05,50038.75,1292.00,32.20,2.18,50030.69,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.90,668073.60,5981986.81,325.40,3.02,243.47,668219.94,5981739.16,50038.69,1294.00,32.20,2.18,50030.57,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.94,668073.53,5981986.91,325.40,3.02,243.47,668219.88,5981739.26,50038.55,1294.00,32.20,2.18,50030.57,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.98,668073.46,5981987.01,325.40,3.02,243.47,668219.79,5981739.35,50038.51,1294.00,32.20,2.18,50030.57,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.07,668073.32,5981987.21,325.40,3.02,243.47,668219.66,5981739.56,50038.46,1292.00,32.20,2.18,50030.33,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.11,668073.25,5981987.32,325.40,3.02,243.47,668219.59,5981739.67,50038.30,1294.00,32.20,2.15,50030.08,1421.00,883381,883767,-0.15,1.83
