Sequence Number,[Mainline] Name,Date,Time,Ievoli_Cobal CoG Easting,Ievoli_Cobal CoG Northing,Ievoli_Cobal CoG COG,Ievoli_Cobal CoG SOG,SF_STBD_MAG_4 Range to Node,SF_STBD_MAG_4 Easting,SF_STBD_MAG_4 Northing,Magnetic Field 30014_MAG_SFSTBD_4_883807 [nT] Value,Value Value,Depth Value,Altitude Value,Magnetic Field 30018_MAG_SFSTBD_8_883431 [nT] Value,Value Value,Value Comment,Value Comment,10003_MRU_SF_STBD Pitch,10003_MRU_SF_STBD Roll
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:16.97,668075.24,5981984.47,325.36,3.02,243.72,668225.30,5981738.64,50038.28,1589.00,32.82,2.18,50041.56,1328.00,883807,883431,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.01,668075.17,5981984.57,325.36,3.02,243.72,668225.23,5981738.75,50038.12,1589.00,32.82,2.18,50041.56,1328.00,883807,883431,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.05,668075.09,5981984.67,325.36,3.02,243.72,668225.17,5981738.85,50038.15,1587.00,32.88,2.20,50041.46,1328.00,883807,883431,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.09,668075.02,5981984.77,325.36,3.02,243.73,668225.10,5981738.96,50038.06,1589.00,32.88,2.20,50041.46,1328.00,883807,883431,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.17,668074.89,5981984.97,325.36,3.02,243.73,668224.98,5981739.16,50037.96,1589.00,32.88,2.16,50041.27,1326.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.21,668074.81,5981985.08,325.36,3.02,243.73,668224.91,5981739.27,50037.83,1589.00,32.88,2.16,50041.27,1326.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.25,668074.75,5981985.18,325.36,3.02,243.73,668224.85,5981739.37,50037.78,1587.00,32.88,2.17,50041.10,1328.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.29,668074.68,5981985.28,325.36,3.02,243.73,668224.78,5981739.47,50037.69,1589.00,32.88,2.17,50041.09,1328.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.38,668074.50,5981985.49,325.36,3.02,243.46,668223.72,5981739.49,50037.69,1589.00,32.88,2.20,50040.86,1326.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.42,668074.43,5981985.59,325.36,3.02,243.46,668223.63,5981739.58,50037.51,1589.00,32.88,2.20,50040.86,1326.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.46,668074.36,5981985.69,325.36,3.02,243.46,668223.57,5981739.68,50037.42,1589.00,32.88,2.17,50040.86,1326.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.50,668074.29,5981985.80,325.36,3.02,243.46,668223.50,5981739.79,50037.29,1589.00,32.88,2.17,50040.69,1328.00,883807,883431,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_4,28/06/2026,02:27:17.54,668074.21,5981985.91,325.36,3.02,243.46,668223.43,5981739.91,50037.29,1587.00,32.88,2.16,50040.64,1326.00,883807,883431,-0.50,0.14
