Sequence Number,[3rd Mainline] Name,Date,Time,Ievoli_Cobal CoG Easting,Ievoli_Cobal CoG Northing,Ievoli_Cobal CoG COG,Ievoli_Cobal CoG SOG,SF_Port_MAG_2 Range to Node,SF_Port_MAG_2 Easting,SF_Port_MAG_2 Northing,Magnetic Field 30002_MAG_SFPort_2_883430 [nT] Value,Value Value,Depth Value,Altitude Value,Magnetic Field 30005_MAG_SFPort_5_883768 [nT] Value,Value Value,Value Comment,Value Comment,10002_MRU_SF_Port Pitch,10002_MRU_SF_Port Roll
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:16.95,668075.27,5981984.42,325.36,3.02,197.90,668189.14,5981770.42,50013.56,1279.00,33.61,2.50,50006.49,1284.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:16.98,668075.21,5981984.51,325.36,3.02,197.90,668189.08,5981770.51,50013.38,1282.00,33.61,2.50,50006.26,1287.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.02,668075.14,5981984.61,325.36,3.02,197.90,668189.01,5981770.61,50013.11,1282.00,33.61,2.51,50006.26,1287.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.11,668075.00,5981984.81,325.36,3.02,197.90,668188.87,5981770.82,50013.11,1279.00,33.61,2.50,50006.11,1284.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.14,668074.93,5981984.91,325.36,3.02,197.91,668188.80,5981770.91,50013.00,1284.00,33.61,2.50,50006.04,1287.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.19,668074.86,5981985.01,325.36,3.02,197.91,668188.73,5981771.01,50012.84,1279.00,33.61,2.50,50005.88,1284.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.23,668074.79,5981985.11,325.36,3.02,197.91,668188.66,5981771.11,50012.64,1282.00,33.61,2.51,50005.88,1284.00,883430,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.31,668074.65,5981985.32,325.36,3.02,197.91,668188.53,5981771.31,50012.39,1282.00,33.57,2.51,50005.61,1287.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.35,668074.54,5981985.42,325.36,3.02,197.84,668188.52,5981771.55,50012.25,1282.00,33.61,2.51,50005.45,1287.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.39,668074.47,5981985.53,325.36,3.02,197.84,668188.45,5981771.66,50012.10,1279.00,33.57,2.51,50005.34,1284.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.43,668074.40,5981985.63,325.36,3.02,197.94,668188.49,5981771.72,50012.02,1282.00,33.61,2.50,50005.34,1284.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.51,668074.26,5981985.83,325.36,3.02,197.94,668188.36,5981771.92,50011.73,1284.00,33.57,2.49,50005.04,1287.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.55,668074.19,5981985.93,325.36,3.02,197.94,668188.29,5981772.02,50011.57,1282.00,33.61,2.49,50004.84,1287.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.59,668074.12,5981986.04,325.36,3.02,197.87,668188.19,5981772.18,50011.33,1284.00,33.61,2.49,50004.71,1287.00,883430,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_2,28/06/2026,02:27:17.63,668074.05,5981986.14,325.36,3.02,197.87,668188.12,5981772.29,50011.30,1282.00,33.61,2.51,50004.75,1284.00,883430,883768,4.89,-0.66
