Sequence Number,[3rd Mainline] Name,Date,Time,Ievoli_Cobal CoG Easting,Ievoli_Cobal CoG Northing,Ievoli_Cobal CoG COG,Ievoli_Cobal CoG SOG,SF_Port_MAG_4 Range to Node,SF_Port_MAG_4 Easting,SF_Port_MAG_4 Northing,Magnetic Field 30004_MAG_SFPort_4_883425 [nT] Value,Value Value,Depth Value,Altitude Value,Magnetic Field 30008_MAG_SFPort_8_883439 [nT] Value,Value Value,Value Comment,Value Comment,10002_MRU_SF_Port Pitch,10002_MRU_SF_Port Roll
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:16.90,668075.34,5981984.31,325.36,3.02,197.90,668191.14,5981771.38,50024.00,1531.00,34.64,2.52,50015.64,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:16.99,668075.20,5981984.52,325.36,3.02,197.90,668191.00,5981771.58,50023.80,1533.00,34.64,2.52,50015.55,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.02,668075.14,5981984.61,325.36,3.02,197.91,668190.94,5981771.67,50023.64,1528.00,34.64,2.54,50015.55,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.06,668075.07,5981984.70,325.36,3.02,197.91,668190.87,5981771.77,50023.46,1533.00,34.64,2.54,50015.39,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.11,668074.99,5981984.82,325.36,3.02,197.91,668190.80,5981771.88,50023.44,1531.00,34.64,2.55,50015.32,1584.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.15,668074.93,5981984.91,325.36,3.02,197.91,668190.73,5981771.97,50023.23,1531.00,34.64,2.55,50015.10,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.23,668074.79,5981985.12,325.36,3.02,197.91,668190.59,5981772.18,50023.03,1533.00,34.64,2.53,50014.92,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.29,668074.69,5981985.26,325.36,3.02,197.91,668190.50,5981772.31,50022.90,1528.00,34.64,2.53,50014.92,1582.00,883425,883439,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.31,668074.65,5981985.32,325.36,3.02,197.91,668190.46,5981772.37,50022.73,1533.00,34.64,2.53,50014.78,1584.00,883425,883439,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_4,28/06/2026,02:27:17.35,668074.54,5981985.43,325.36,3.02,197.85,668190.45,5981772.61,50022.62,1531.00,34.64,2.53,50014.65,1582.00,883425,883439,4.89,-0.66
